,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2019-02-28,734.2999877929688,0.9917,0.027,0.877,0.096,738.7000122070312,742.4000244140625,732.2999877929688,8559921.0
2019-03-01,741.9000244140625,0.9707,0.08,0.819,0.101,735.5,743.4000244140625,735.5,3998826.0
2019-03-05,732.5,0.9996,0.025,0.795,0.179,740.5,742.5,730.25,4826505.0
2019-03-06,732.5,0.9988,0.02,0.857,0.123,736.0999755859375,736.0999755859375,727.0,6076668.0
2019-03-07,722.9500122070312,0.9968,0.018,0.855,0.127,734.0,734.5,720.5499877929688,5951551.0
2019-03-08,712.3499755859375,0.9928,0.029,0.833,0.138,722.9500122070312,722.9500122070312,710.6500244140625,7193994.0
2019-03-11,711.25,0.9904,0.005,0.888,0.107,713.2999877929688,718.5,709.4000244140625,9932198.0
2019-03-12,706.9500122070312,0.5994,0.048,0.803,0.149,709.0,714.9500122070312,705.5999755859375,11997387.0
2019-03-13,708.4500122070312,0.9825,0.028,0.88,0.093,710.0,718.5999755859375,706.2999877929688,11348867.0
2019-03-14,708.3499755859375,0.9926,0.014,0.859,0.127,714.0,714.9000244140625,706.2000122070312,6415187.0
2019-03-15,718.5499877929688,0.9881,0.031,0.871,0.098,712.0,723.75,709.5999755859375,14638664.0
2019-03-18,710.2000122070312,0.9927,0.006,0.854,0.14,721.5499877929688,723.7000122070312,705.3499755859375,8065544.0
2019-03-19,722.25,0.9946,0.027,0.783,0.19,712.7999877929688,726.5,707.4000244140625,8917337.0
2019-03-20,738.9500122070312,0.996,0.026,0.86,0.113,727.25,742.2999877929688,727.1500244140625,13471173.0
2019-03-22,743.0999755859375,0.9878,0.024,0.853,0.123,745.0,746.3499755859375,732.2999877929688,8883260.0
2019-03-25,735.25,0.8339,0.03,0.912,0.058,742.4000244140625,742.4000244140625,730.5499877929688,7644966.0
2019-03-26,727.75,0.9486,0.061,0.821,0.117,735.25,735.25,719.0999755859375,9406261.0
2019-03-27,729.7000122070312,0.9787,0.0,0.892,0.108,730.0,732.2999877929688,727.1500244140625,7387487.0
2019-03-28,737.7999877929688,0.9965,0.012,0.911,0.077,730.0,745.0,730.0,9277241.0
2019-04-01,755.0999755859375,0.0,0.036,0.924,0.04,742.0,760.0,742.0,6584982.0
2019-04-02,759.4000244140625,0.9865,0.003,0.893,0.104,759.0,765.7999877929688,754.5999755859375,7283600.0
2019-04-03,753.2999877929688,0.7901,0.031,0.888,0.081,756.0,758.5,746.7999877929688,6897127.0
2019-04-04,747.9000244140625,0.978,0.047,0.833,0.12,751.4000244140625,753.7999877929688,745.0999755859375,7688525.0
2019-04-05,759.2999877929688,0.9975,0.011,0.859,0.13,750.9000244140625,760.9500122070312,748.0,6276040.0
2019-04-08,767.25,0.946,0.014,0.916,0.07,763.0499877929688,770.0,755.4000244140625,4919911.0
2019-04-09,760.5999755859375,0.996,0.003,0.899,0.098,770.0,773.0,758.2000122070312,6730692.0
2019-04-10,752.7000122070312,0.9983,0.004,0.841,0.155,764.0,766.7000122070312,751.2999877929688,7031088.0
2019-04-11,742.7000122070312,0.9822,0.029,0.888,0.083,751.75,751.75,740.0499877929688,8200995.0
2019-04-12,747.75,0.9999,0.02,0.83,0.15,743.0999755859375,751.5499877929688,740.5999755859375,7043212.0
2019-04-15,727.5,0.9951,0.056,0.854,0.09,724.7000122070312,731.3499755859375,712.5999755859375,31574803.0
2019-04-16,724.0999755859375,0.9239,0.032,0.9,0.068,727.9000244140625,727.9000244140625,714.0999755859375,12524411.0
2019-04-18,717.0499877929688,0.9929,0.03,0.858,0.112,722.5,722.5,712.75,13801105.0
2019-04-22,721.0499877929688,0.9798,0.007,0.918,0.075,717.0499877929688,725.75,715.0,6455426.0
2019-04-23,728.2000122070312,0.9961,0.005,0.891,0.104,723.9000244140625,730.0,718.4000244140625,5516668.0
2019-04-24,736.4500122070312,0.9947,0.005,0.892,0.103,728.2000122070312,737.9000244140625,724.0,8285120.0
2019-04-25,728.5499877929688,0.9514,0.072,0.803,0.125,736.4500122070312,737.6500244140625,727.0499877929688,8005235.0
2019-04-26,738.0,0.9939,0.0,0.854,0.146,731.0,739.7999877929688,729.0,6895168.0
2019-04-30,751.3499755859375,0.9951,0.008,0.826,0.166,738.0,753.7999877929688,738.0,9920046.0
2019-05-02,730.7999877929688,0.8638,0.055,0.872,0.073,747.0,748.4000244140625,729.5,6351352.0
2019-05-03,723.5999755859375,0.9878,0.007,0.894,0.099,722.9000244140625,731.0,718.2000122070312,6348116.0
2019-05-06,718.4000244140625,0.9841,0.029,0.755,0.215,715.0,721.7999877929688,710.6500244140625,8858265.0
